Código;Nome do cargo na Pesquisa;Cargos Similares;Missão do Cargo;;;;;;;;;;;;;;;;;;;
1113;Analista de Parcerias;Analista de Alianças Estratégicas;Desenvolver, implementar e gerenciar estratégias de parcerias para a empresa. Identificar oportunidades de parcerias, negociar e formalizar acordos, estabelecer relacionamentos com parceiros-chave e avaliar continuamente o desempenho das parcerias. Realizar pesquisa e análise de mercado para identificar potenciais parceiros estratégicos. Desenvolver propostas de parcerias, incluindo a definição de objetivos, benefícios mútuos e responsabilidades de cada parte. Negociar termos e condições dos acordos de parceria, considerando aspectos legais, financeiros e estratégicos. Gerenciar o relacionamento com os parceiros, garantindo a execução efetiva dos acordos e o cumprimento das metas estabelecidas. Participar de eventos e networking para expandir a rede de parceiros potenciais e identificar oportunidades de colaboração. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
17;Analista de Pesquisa e Desenvolvimento P&D;"Analista de Pesquisa e Desenvolvimento; Analista de Tecnologia e Pesquisa";Desenvolver tecnologias, processos, materiais e produtos. Prestar suporte ao cliente/usuário. Elaborar documentação de tecnologias, ferramentas e materiais. Estabelecer padrões e oferecer soluções. Pesquisar inovações em diversas áreas. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
190;Analista de Planejamento Financeiro;"Analista de FP&A; Analista de Planejamento e Análise Financeira; Analista de Planejamento Estratégico";Realizar análises financeiras de projetos e elaborar relatórios para acompanhamento financeiro de diversas áreas da empresa. Monitorar indicadores de desempenho organizacional em conformidade com o planejamento estratégico. Organizar dados e informações para a elaboração de relatórios gerenciais. Desenvolver e manter o planejamento estratégico, realizando sua atualização periódica. Fornecer insights financeiros para apoiar a tomada de decisões estratégicas. Colaborar com outras áreas da empresa para garantir a integração e a eficácia das estratégias financeiras. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
372;Analista de PMO;Analista de Escritório de Projetos;Elaborar, analisar e reportar indicadores de projetos e programas. Monitorar métricas e elaborar relatórios sobre avanços físicos e econômicos, análise de interferências e movimentação de datas e etapas de projetos, visando ao cumprimento dos objetivos do PMO. Orientar e apoiar gerentes de projetos quanto a conhecimentos, procedimentos, metodologias e documentos. Desenvolver e implementar processos para melhorar a eficiência e eficácia na gestão de projetos. Facilitar a comunicação entre as partes interessadas e assegurar a conformidade com as melhores práticas de gestão de projetos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
438;Analista de Pré-vendas (SDR);"Analista de Prospecção SDR; Sales Development Representative (SDR); Sales Representative";Atuar na abordagem de leads, que podem ter sido gerados tanto via Inbound quanto Outbound. Qualificar leads, movê-los através do funil de vendas e agendar reuniões de vendas para os vendedores. Receber Marketing Qualified Leads (MQLs) ou listas de leads geradas com base no Perfil Ideal de Cliente. Fazer uma pesquisa inicial sobre o lead, empresa e segmento. Cumprir um alto volume de ligações de prospecção. Realizar as etapas da cadência de prospecção a fim de conseguir cumprir a etapa de conexão. Realizar o atendimento técnico comercial junto aos clientes, preparando o cliente para o vendedor, auxiliando nos esclarecimentos técnicos em relação aos produtos e garantindo o sucesso da venda. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
898;Analista de Prevenção à Fraude;"Analista de Controle de Perdas; Analista de Perdas";Analisar dados e comportamentos visando a segurança e prevenção de fraude e perdas. Analisar o risco para controle de quebras e prevenção de furtos e roubos. Elaborar normas e políticas referentes às operações. Desenvolver e sugerir estratégias para aplicar ações corretivas. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1015;Analista de Product Marketing (PMM);"Analista de Estratégia de Produto; PMM";Definir estratégias para lançamentos de produtos. Combinar o conhecimento de mercado com táticas de negócio para planejar como introduzir produtos para os consumidores. Examinar indicadores de mercado e auxiliar com percepções do produto. Criar conteúdo e direcionar o posicionamento do produto. Alinhar a mensagem e a estratégia entre o marketing e a equipe de vendas. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
375;Analista de Produto;"Analista de Engenharia de Produto; Analista de Gestão de Produto; Analista de Novos Produtos; Analista de Produtos e Serviços";Executar testes de produtos. Redigir documentação de especificação de novos produtos. Realizar a atualização das documentações já disponíveis. Participar na concepção e sustentação de produtos, de forma sistemática. Analisar o comportamento da concorrência e tendências de mercado, viabilidade de lançamentos, analisando resultados para identificar novas oportunidades. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
18;Analista de Projetos;"Analista de Projetos Corporativos; Analista de Projetos de Implantação; Analista de Projetos de Sistema; Analista de Projetos e Consultoria";Planejar, organizar, controlar e assessorar a área de projetos. Elaborar, implementar e acompanhar projetos de negócio e do segmento. Elaborar documentação de projetos. Realizar contato com clientes. Agendar implantações, organizar cronogramas e lançar dados em sistema de gerenciamento de projetos. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
439;Analista de Prospecção (BDR);"Analista Administrativo de Prospecção; Analista Comercial de Prospecção; Analista de CRM; BDR (Business Development Representative)";Realizar prospecção outbound de acordo com a segmentação e orientação estratégica da empresa. Desenvolver relatórios gerenciais da área. Operacionalizar e participar na construção de campanhas de vendas e segmentos estratégicos voltados para prospectar clientes. Atuar na geração de leads qualificados por uma abordagem outbound, usando cold e-mail, cold calling, social selling e networking. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
50;Analista de Qualidade e Processos;"Analista de Gestão da Qualidade; Analista de ISO; Analista de Melhoria Contínua; Analista de Operações; Analista de Processos; Analista de SGI; Analista de Sistema de Gestão Integrada;";Atuar na identificação e mapeamento dos processos e controle de qualidade para otimizar as atividades da empresa e atender normas governamentais e ISO. Elaborar soluções para os processos da empresa, permitindo uma gestão mais adequada das atividades. Desenhar fluxos de tarefas, identificar falhas e oportunidades de melhorias. Apresentar fluxos de trabalho com melhorias implementadas. Criar documentos para gerir os processos. Criar modelos de métodos de controles. Realizar auditorias internas dos fluxos implementados e acompanhar auditorias externas. Criar instruções de trabalho. Assegurar a gestão integrada dos sistemas de qualidade, meio ambiente e saúde e segurança do trabalho, garantindo a conformidade normativa, a melhoria contínua e a eficiência dos processos por meio de controles, auditorias, indicadores e integração entre áreas. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
359;Analista de Recrutamento e Seleção;"Analista de Atração e Seleção; Analista de Talent Acquisition; Analista de Talentos; Analista Sourcer de Talentos; Recruiter Sourcer; Sales Recruiter; Staff Recruiter";Executar as atividades do processo de recrutamento e seleção, incluindo requisição de pessoal, descrição da vaga, divulgação, triagem de currículos e entrevistas, elaborando pareceres. Levantar indicadores da área, como turnover, vagas em aberto e tempo de preenchimento de vagas. Identificar fontes de recrutamento e divulgação. Analisar níveis adequados de remuneração para contratação. Elaborar cartas-propostas. Analisar documentação entregue para admissão. Conduzir programas de integração para novos colaboradores. Realizar entrevistas de desligamento. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
52;Analista de Recursos Humanos;"Analista Administrativo de RH; Analista de Desenvolvimento Humano e Organizacional; Analista de DHO; Analista de Gente; Analista de Gestão de Pessoas";Efetuar processos de recrutamento e seleção, gerar planos de benefícios e promover ações de qualidade de vida e assistência aos empregados. Promover ações de treinamento e desenvolvimento de pessoal. Administrar pessoal e planos de cargos e salários. Administrar relações de trabalho e coordenar sistemas de avaliação de desempenho. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
